nombre,distrito,precio,rating,checkin,plan
Compostela Suites,San Blas,153,Bien,2023-06-09,1 dia
Room Mate Macarena – Gran Vía,Centro,329,Fabuloso,2023-06-09,1 dia
"Hotel Urban,a Member of Design Hotels",Centro,323,Fabuloso,2023-06-09,1 dia
Pestana CR7 Gran Vía Madrid,Centro,297,Fabuloso,2023-06-09,1 dia
Hotel Fenix Gran Meliá - The Leading Hotels of the World,Salamanca,450,Fabuloso,2023-06-09,1 dia
Pullman Madrid Airport & Feria,Barajas,167,Muy bien,2023-06-09,1 dia
Melia Madrid Serrano,Salamanca,515,Muy bien,2023-06-09,1 dia
"Hotel Madrid Alameda Aeropuerto, Affiliated by Meliá",Barajas,224,Muy bien,2023-06-09,1 dia
NH Collection Madrid Gran Vía,Centro,332,Fabuloso,2023-06-09,1 dia
Mercure Madrid Centro,Centro,289,Muy bien,2023-06-09,1 dia
Palacio de los Duques Gran Meliá - The Leading Hotels of the World,Centro,500,Fantástico,2023-06-09,1 dia
Vincci Soma,Salamanca,330,Muy bien,2023-06-09,1 dia
Casón del Tormes,Centro,235,Fabuloso,2023-06-09,1 dia
La Quinta de los Cedros,Ciudad Lineal,169,Fabuloso,2023-06-09,1 dia
Hyatt Regency Hesperia Madrid,Otro,350,Muy bien,2023-06-09,1 dia
"InterContinental Madrid, an IHG Hotel",Otro,374,Muy bien,2023-06-09,1 dia
Catalonia El Retiro,Retiro,275,Muy bien,2023-06-09,1 dia
Espahotel Gran Vía,Centro,195,Muy bien,2023-06-09,1 dia
Barceló Emperatriz,Salamanca,293,Fabuloso,2023-06-09,1 dia
Ibis Styles Madrid Prado,Centro,277,Fabuloso,2023-06-09,1 dia
One Shot Luchana 22,Otro,250,Muy bien,2023-06-09,1 dia
limehome Madrid Calle de Fomento - Digital Access,Centro,243,Fabuloso,2023-06-09,1 dia
Hyatt Centric Gran Via Madrid,Centro,469,Fabuloso,2023-06-09,1 dia
Novotel Campo De Las Naciones,Barajas,213,Muy bien,2023-06-09,1 dia
Rafaelhoteles Piramides,Arganzuela,198,Muy bien,2023-06-09,1 dia
Studios Cielo Madrid,Carabanchel,188,Fabuloso,2023-06-09,1 dia
"Hotel Madrid Atocha, Affiliated by Meliá",Centro,264,Muy bien,2023-06-09,1 dia
Vincci Soho,Centro,286,Fabuloso,2023-06-09,1 dia
Soho Boutique Opera,Centro,285,Fabuloso,2023-06-09,1 dia
7 Islas Hotel,Centro,292,Fantástico,2023-06-09,1 dia
Hospes Puerta de Alcalá,Salamanca,350,Fabuloso,2023-06-09,1 dia
Posada del Dragón Boutique Hotel,Centro,209,Muy bien,2023-06-09,1 dia
Principe Pio,Moncloa,186,Fabuloso,2023-06-09,1 dia
Hotel Atlántico,Centro,328,Fantástico,2023-06-09,1 dia
limehome Madrid Calle de la Madera - Digital Access,Centro,273,Muy bien,2023-06-09,1 dia
"Holiday Inn Madrid - Las Tablas, an IHG Hotel",Fuencarral,172,Muy bien,2023-06-09,1 dia
Ocean Drive Madrid,Centro,300,Fabuloso,2023-06-09,1 dia
Agora Juan de Austria,Otro,289,Muy bien,2023-06-09,1 dia
Ilunion Suites Madrid,Chamartín,268,Muy bien,2023-06-09,1 dia
CoolRooms Palacio de Atocha,Centro,408,Fantástico,2023-06-09,1 dia
Catalonia Las Cortes,Centro,370,Fantástico,2023-06-09,1 dia
Senator Castellana,Otro,224,Muy bien,2023-06-09,1 dia
L&H La Latina Selection,Centro,216,Fantástico,2023-06-09,1 dia
Hotel Don Luis,Barajas,150,Bien,2023-06-09,1 dia
Pestana Plaza Mayor Madrid,Centro,380,Fantástico,2023-06-09,1 dia
Hotel Suites Feria de Madrid,Hortaleza,199,Bien,2023-06-09,1 dia
The Madrid EDITION,Centro,747,Fantástico,2023-06-09,1 dia
Aloft Madrid Gran Via,Centro,355,Fabuloso,2023-06-09,1 dia
Porcel Torre Garden,Ciudad Lineal,190,Muy bien,2023-06-09,1 dia
Clement Barajas,Barajas,210,Muy bien,2023-06-09,1 dia
Hotel Crowne Plaza Madrid Airport,San Blas,169,Fabuloso,2023-06-09,1 dia
UVE Marcenado,Chamartín,239,Fantástico,2023-06-09,1 dia
Sonder Santa Ana,Centro,429,Fabuloso,2023-06-09,1 dia
limehome Madrid Calle Ave María - Digital Access,Centro,280,Fabuloso,2023-06-09,1 dia
"Thompson Madrid, a Hyatt Brand",Centro,639,Fabuloso,2023-06-09,1 dia
Desayuno y cena incluidos,Centro,427,Fabuloso,2023-06-09,1 dia
limehome Madrid Calle de Don Ramón de la Cruz,Salamanca,302,Fabuloso,2023-06-09,1 dia
Bob W Chueca,Centro,257,Fabuloso,2023-06-09,1 dia
New Point Opera,Centro,291,Fantástico,2023-06-09,1 dia
Room Mate Alba,Centro,319,Fantástico,2023-06-09,1 dia
The First One Madrid Preciados,Centro,513,Fabuloso,2023-06-09,1 dia
Smartrental Collection Gran Vía Centric,Centro,342,Fabuloso,2023-06-09,1 dia
Gran Hotel Inglés - The Leading Hotels of the World,Centro,612,Fantástico,2023-06-09,1 dia
"Círculo Gran Vía, Autograph Collection (Adults Only)",Centro,440,Fabuloso,2023-06-09,1 dia
Vincci The Mint,Centro,308,Fantástico,2023-06-09,1 dia
Dear Hotel Madrid,Centro,278,Fabuloso,2023-06-09,1 dia
Only YOU Boutique Hotel Madrid,Centro,520,Fantástico,2023-06-09,1 dia
Rosewood Villa Magna,Salamanca,198,Fantástico,2023-06-09,1 dia
Porcel Ganivet,Centro,250,Muy bien,2023-06-09,1 dia
Hotel Glam,Centro,428,Fabuloso,2023-06-09,1 dia
AC Hotel Recoletos by Marriott,Salamanca,330,Fabuloso,2023-06-09,1 dia
Suite Prado,Centro,370,Muy bien,2023-06-09,1 dia
Emperador,Centro,363,Fabuloso,2023-06-09,1 dia
Hotel Meninas - Boutique Opera,Centro,310,Muy bien,2023-06-09,1 dia
Líbere Madrid Palacio Real,Centro,402,Muy bien,2023-06-09,1 dia
Hotel Regina,Centro,401,Fantástico,2023-06-09,1 dia
Francisco I Boutique,Centro,285,Fabuloso,2023-06-09,1 dia
Relais & Châteaux Hotel Orfila,Otro,649,Fantástico,2023-06-09,1 dia
JW Marriott Hotel Madrid,Centro,803,Fantástico,2023-06-09,1 dia
BLESS Hotel Madrid - The Leading Hotels of the World,Salamanca,624,Fantástico,2023-06-09,1 dia
ICON Wipton,Salamanca,473,Fantástico,2023-06-09,1 dia
Iberostar Las Letras Gran Via,Centro,385,Fabuloso,2023-06-09,1 dia
Victoria 4 Puerta del Sol,Centro,261,Muy bien,2023-06-09,1 dia
"Hotel Madrid Plaza de España, Affiliated by Meliá",Centro,321,Muy bien,2023-06-09,1 dia
INNSIDE by Meliá Madrid Gran Vía,Centro,334,Fabuloso,2023-06-09,1 dia
"Hotel Madrid Gran Via 25, Affiliated by Meliá",Centro,311,Muy bien,2023-06-09,1 dia
Gran Versalles,Otro,230,Muy bien,2023-06-09,1 dia
"Santo Mauro, a Luxury Collection Hotel, Madrid",Otro,701,Fantástico,2023-06-09,1 dia
Vincci Centrum,Centro,275,Muy bien,2023-06-09,1 dia
"The Westin Palace, Madrid",Centro,489,Muy bien,2023-06-09,1 dia
Hotel Moderno Puerta del Sol,Centro,290,Fabuloso,2023-06-09,1 dia
Hotel Princesa Plaza Madrid,Centro,285,Muy bien,2023-06-09,1 dia
Intur Palacio San Martin,Centro,445,Fabuloso,2023-06-09,1 dia
Catalonia Puerta del Sol,Centro,350,Fantástico,2023-06-09,1 dia
Quatro Puerta del Sol,Centro,220,Muy bien,2023-06-09,1 dia
Sterling,Centro,226,Muy bien,2023-06-09,1 dia
Hotel Mayorazgo,Centro,323,Fabuloso,2023-06-09,1 dia
Travelodge Madrid Alcalá,San Blas,244,Bien,2023-06-09,1 dia
Hotel Barajas Plaza,Barajas,150,Bien,2023-06-09,1 dia
Ikonik Gran Vía,Centro,300,Fabuloso,2023-06-09,1 dia
Hotel Europa,Centro,264,Fabuloso,2023-06-09,1 dia
B&B HOTEL Madrid Centro Puerta del Sol,Centro,232,Fantástico,2023-06-09,1 dia
Petit Palace Puerta del Sol,Centro,289,Fabuloso,2023-06-09,1 dia
Petit Palace Tres Cruces,Centro,258,Fabuloso,2023-06-09,1 dia
Don Pio,Chamartín,205,Muy bien,2023-06-09,1 dia
HRC Hotel,Centro,230,Bien,2023-06-09,1 dia
Petit Palace Arenal,Centro,313,Fabuloso,2023-06-09,1 dia
Occidental Castellana Norte,Hortaleza,174,Fabuloso,2023-06-09,1 dia
Mayerling Hotel,Centro,307,Muy bien,2023-06-09,1 dia
B&B HOTEL Madrid Centro Plaza Mayor,Centro,282,Fabuloso,2023-06-09,1 dia
AP Hotel Madrid Airport,Barajas,144,Bien,2023-06-09,1 dia
Petit Palace Posada del Peine,Centro,287,Muy bien,2023-06-09,1 dia
Aravaca Village Hotel,Moncloa,160,Muy bien,2023-06-09,1 dia
ICON Casona 1900,Salamanca,390,Fantástico,2023-06-09,1 dia
Petit Palace Preciados,Centro,301,Muy bien,2023-06-09,1 dia
DWO Yuste Alcalá,San Blas,225,Fabuloso,2023-06-09,1 dia
Chic & Basic dot,Centro,316,Fabuloso,2023-06-09,1 dia
NeoMagna Madrid,Salamanca,216,Bien,2023-06-09,1 dia
"Hotel Único Madrid, Small Luxury Hotels",Salamanca,535,Fabuloso,2023-06-09,1 dia
Hotel Villa de Barajas,Barajas,195,Muy bien,2023-06-09,1 dia
Hyatt Regency Madrid Residences,Salamanca,580,Fabuloso,2023-06-09,1 dia
Four Seasons Hotel Madrid,Centro,159,Fantástico,2023-06-09,1 dia
Hotel Los 5 Pinos,San Blas,176,Muy bien,2023-06-09,1 dia
NH Madrid Atocha,Retiro,474,Muy bien,2023-06-09,1 dia
Hotel Mora by MIJ,Centro,418,Muy bien,2023-06-09,1 dia
AC Hotel Avenida de América by Marriott,Salamanca,218,Fabuloso,2023-06-09,1 dia
Room Mate Oscar,Centro,930,Fabuloso,2023-06-09,2 dias
Anuncio publicitario,Salamanca,980,Muy bien,2023-06-09,2 dias
Crisol Vía Castellana,Chamartín,320,Muy bien,2023-06-09,2 dias
Apartamentos Juan Bravo,Salamanca,368,Bien,2023-06-09,2 dias
Zleep Madrid Airport,San Blas,308,Muy bien,2023-06-09,2 dias
Eurostars Central,Centro,415,Muy bien,2023-06-09,2 dias
Boutique Urban Madrid Serrano,Salamanca,350,No disponible,2023-06-09,2 dias
Riu Plaza España,Centro,889,Fabuloso,2023-06-09,2 dias
Exe Plaza,Otro,335,Muy bien,2023-06-09,2 dias
"URSO Hotel & Spa, a Small Luxury Hotel of the World",Centro,829,Fantástico,2023-06-09,2 dias
Catalonia Gran Vía Madrid,Centro,600,Fabuloso,2023-06-09,2 dias
AB Design Suites,Centro,425,Bien,2023-06-09,2 dias
NH Madrid Balboa,Salamanca,450,Muy bien,2023-06-09,2 dias
Abalú Boutique & Design Hotel,Centro,416,Bien,2023-06-09,2 dias
NH Madrid Ventas,Salamanca,422,Muy bien,2023-06-09,2 dias
NH Madrid Principe de Vergara,Salamanca,475,Muy bien,2023-06-09,2 dias
Eurostars Suites Mirasierra,Fuencarral,405,Muy bien,2023-06-09,2 dias
Petit Palace President Castellana,Salamanca,666,Bien,2023-06-09,2 dias
"Holiday Inn Express - Madrid - Airport, an IHG Hotel",San Blas,349,Fabuloso,2023-06-09,2 dias
Dormirdcine,Salamanca,439,Muy bien,2023-06-09,2 dias
Axel Hotel Madrid - Adults Only,Centro,658,Muy bien,2023-06-09,2 dias
Abba Madrid,Salamanca,350,Fabuloso,2023-06-09,2 dias
Gran View Apartments,Centro,678,Fabuloso,2023-06-09,2 dias
Ilunion Atrium,Ciudad Lineal,453,Fabuloso,2023-06-09,2 dias
NH Madrid Nacional,Centro,494,Muy bien,2023-06-09,2 dias
Exe Moncloa,Moncloa,440,Muy bien,2023-06-09,2 dias
Ekilibrio Hotel & Apart-Suites,Usera,300,Muy bien,2023-06-09,2 dias
NH Paseo de la Habana,Chamartín,410,Bien,2023-06-09,2 dias
N1 Casa de Madrid - greenpeace line,Salamanca,218,No disponible,2023-06-09,2 dias
The Social Hub Madrid,Moncloa,452,Fabuloso,2023-06-09,2 dias
Hotel Opera,Centro,440,Muy bien,2023-06-09,2 dias
Exe Suites 33,Centro,366,Muy bien,2023-06-09,2 dias
Sercotel Togumar,Chamartín,419,Muy bien,2023-06-09,2 dias
Eurostars Monte Real,Fuencarral,341,Fabuloso,2023-06-09,2 dias
Eurostars Madrid Tower,Fuencarral,572,Fabuloso,2023-06-09,2 dias
NH Madrid Las Tablas,Fuencarral,294,Muy bien,2023-06-09,2 dias
AC Hotel Madrid Feria by Marriott,Hortaleza,363,Fabuloso,2023-06-09,2 dias
Ibis Styles Madrid City Las Ventas,Ciudad Lineal,344,Fabuloso,2023-06-09,2 dias
Hotel Avenida Gran Vía,Centro,475,Bien,2023-06-09,2 dias
Eurostars Plaza Mayor,Centro,467,Muy bien,2023-06-09,2 dias
The Social Hub Madrid 4 star,Moncloa,497,Fabuloso,2023-06-09,2 dias
Hotel Infantas by MIJ,Centro,489,Muy bien,2023-06-09,2 dias
NH Collection Madrid Abascal,Otro,506,Fabuloso,2023-06-09,2 dias
"Hotel Montera Madrid, Curio Collection By Hilton",Centro,734,Fabuloso,2023-06-09,2 dias
Hotel Nuevo Madrid,Ciudad Lineal,342,Muy bien,2023-06-09,2 dias
Ilunion Pio XII,Chamartín,478,Muy bien,2023-06-09,2 dias
Canopy by Hilton Madrid Castellana,Otro,484,Fabuloso,2023-06-09,2 dias
AC Hotel Atocha by Marriott,Arganzuela,567,Fabuloso,2023-06-09,2 dias
Hotel Praga,Carabanchel,380,Muy bien,2023-06-09,2 dias
Hotel Santo Domingo,Centro,545,Bien,2023-06-09,2 dias
Catalonia Atocha,Centro,530,Fabuloso,2023-06-09,2 dias
Paseo Suites Hotel,Villaverde,330,Fantástico,2023-06-09,2 dias
Pestana CR7 Gran Vía Madrid,Centro,592,Fabuloso,2023-06-09,2 dias
Barceló Torre de Madrid,Moncloa,538,Fabuloso,2023-06-09,2 dias
"Hotel Indigo Madrid - Gran Via, an IHG Hotel",Centro,590,Fabuloso,2023-06-09,2 dias
Hotel Cortezo,Centro,400,Muy bien,2023-06-09,2 dias
Suites Barrio de Salamanca,Salamanca,500,Muy bien,2023-06-09,2 dias
Petit Palace Lealtad Plaza,Retiro,762,Fabuloso,2023-06-09,2 dias
Catalonia Goya,Salamanca,560,Fabuloso,2023-06-09,2 dias
Petit Palace Arturo Soria Alcalá,Ciudad Lineal,459,Fabuloso,2023-06-09,2 dias
Room Mate Alicia,Centro,550,Fabuloso,2023-06-09,2 dias
Casual del Teatro Madrid,Centro,412,Muy bien,2023-06-09,2 dias
NYX Hotel Madrid by Leonardo Hotels,Otro,410,Muy bien,2023-06-09,2 dias
Room Mate Mario,Centro,510,Muy bien,2023-06-09,2 dias
AC Hotel Aravaca by Marriott,Moncloa,363,Muy bien,2023-06-09,2 dias
Hotel Puerta America,Chamartín,560,Muy bien,2023-06-09,2 dias
One Shot Fortuny 07,Otro,514,Muy bien,2023-06-09,2 dias
Agumar,Retiro,440,Muy bien,2023-06-09,2 dias
"Hotel Madrid Centro, Affiliated by Meliá",Centro,543,Bien,2023-06-09,2 dias
NH Collection Madrid Suecia,Centro,559,Fabuloso,2023-06-09,2 dias
ICON Embassy,Salamanca,922,Fabuloso,2023-06-09,2 dias
Exe Madrid Norte,Hortaleza,354,Muy bien,2023-06-09,2 dias
Petit Palace Savoy Alfonso XII,Retiro,658,Fabuloso,2023-06-09,2 dias
"Atocha Hotel Madrid, Tapestry Collection by Hilton",Centro,618,Fantástico,2023-06-09,2 dias
Hotel Freedom,Centro,393,Muy bien,2023-06-09,2 dias
Wellington Hotel & Spa Madrid,Salamanca,808,Fabuloso,2023-06-09,2 dias
Letoh Letoh Gran Vía,Centro,718,Fabuloso,2023-06-09,2 dias
NH Collection Madrid Gran Vía,Centro,699,Fabuloso,2023-06-09,2 dias
Vincci Soma,Salamanca,594,Muy bien,2023-06-09,2 dias
Ilunion Alcalá Norte,San Blas,523,Fabuloso,2023-06-09,2 dias
Zenit Conde de Orgaz,Hortaleza,326,Muy bien,2023-06-09,2 dias
Petit Palace Plaza España,Centro,608,Muy bien,2023-06-09,2 dias
ME Madrid Reina Victoria by Meliá,Centro,625,Muy bien,2023-06-09,2 dias
Melia Madrid Princesa,Moncloa,575,Muy bien,2023-06-09,2 dias
AC Hotel Los Vascos by Marriott,Moncloa,440,Muy bien,2023-06-09,2 dias
Vincci Vía - 66,Centro,550,Muy bien,2023-06-09,2 dias
Hotel Acta Madfor,Moncloa,685,Muy bien,2023-06-09,2 dias
"TÓTEM Madrid, a Small Luxury Hotel of the World",Salamanca,900,Fantástico,2023-06-09,2 dias
